from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000115271,P28676,GCA,GCA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000141519,Q4G0X9,CCDC40,CCDC40,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000131143,P13073,COX4I1,COX4I1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000081087,Q86WC4,OSTM1,OSTM1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000155660,P13667,PDIA4,PDIA4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000107593,Q9P0L9,PKD2L1,PKD2L1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000100433,P57789,KCNK10,KCNK10,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000228575,Q14676,MDC1,MDC1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000090376,Q9Y616,IRAK3,IRAK3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000105894,P21246,PTN,PTN,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000224455,Q8N1B4,VPS52,VPS52,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000188290,Q9HCC6,HES4,HES4,NA,from_to,RNA_to_Protein,RNA,Protein
