"","HYG_005_V1","HYG_012_V1","HYG_015_V1","HYG_017_V1","HYG_018_V1","HYG_019_V1","HYG_020_V1","HYG_021_V1","HYG_022_V1","HYG_023_V1","HYG_024_V1","HYG_025_V1","HYG_001_V1","HYG_003_V1","HYG_004_V1","HYG_008_V1","HYG_036_V1","HYG_049_V1","HYG_054_V1","HYG_055_V1","HYG_056_V1","HYG_065_V1","HYG_069_V1","HYG_071_V1"
"ENSG00000284442",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000207631",5.6220448006723,5.6220448006723,6.10373600704184,5.6220448006723,6.35453346886019,5.93110173637389,5.6220448006723,6.08009178350743,5.6220448006723,5.6220448006723,5.98618339004269,6.02438595703581,5.6220448006723,6.06462213602459,5.6220448006723,5.6220448006723,5.6220448006723,6.0145186717744,5.6220448006723,5.6220448006723,6.30839593126356,5.6220448006723,5.6220448006723,5.90654409106183
"ENSG00000207931",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.04214701502614,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.8999922379777,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.82337888256459
"ENSG00000264566",5.6220448006723,5.6220448006723,5.99585020878884,5.6220448006723,5.6220448006723,5.97868697696763,5.81910412682866,5.80969578707029,5.6220448006723,5.6220448006723,5.6220448006723,5.90700237043352,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000284346",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000199080",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000202566",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000221203",5.6220448006723,5.6220448006723,6.33262713235698,5.6220448006723,5.82721678379899,5.87454910956051,5.6220448006723,5.6220448006723,5.9588956540574,5.95004450670265,6.21409704597851,6.18922710670345,5.6220448006723,5.6220448006723,6.15147092650362,5.6220448006723,5.6220448006723,6.67656406686533,5.6220448006723,5.6220448006723,6.42683432636326,6.73047013552571,6.09486356265905,5.6220448006723
"ENSG00000221476",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.97681806333129,5.6220448006723,5.6220448006723,5.6220448006723,6.09735411133043,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.2322507662515,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000207642",6.23480073182956,5.6220448006723,6.30016777088646,5.6220448006723,6.12252178603445,6.35136425813018,5.96283409345293,6.18187561539773,5.6220448006723,6.04488805762939,6.17633780356272,6.0715150478633,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.21205599519661,5.6220448006723,5.6220448006723,5.6220448006723,5.8140628531351,6.22480945816022,6.09486356265905,6.48732451317482
"ENSG00000266228",5.6220448006723,5.6220448006723,5.83826323934763,5.6220448006723,5.6220448006723,5.6220448006723,6.01525173868333,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.02438595703581,5.6220448006723,5.6220448006723,6.47880781132726,5.6220448006723,5.6220448006723,6.10199250226052,5.6220448006723,5.6220448006723,6.00523704464941,5.6220448006723,5.6220448006723,6.15216957918135
"ENSG00000284583",5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000183878",5.6220448006723,5.6220448006723,5.6220448006723,11.5570609166173,6.32636522347518,5.6220448006723,5.6220448006723,5.6220448006723,5.81681984037989,12.213527526895,5.6220448006723,5.6220448006723,12.2992224848902,12.8712939068726,5.6220448006723,5.6220448006723,12.4545184364866,5.6220448006723,12.2967819847398,9.91912930670104,12.0544066834567,12.0376189761663,5.6220448006723,12.5546123322664
"ENSG00000154654",5.6220448006723,5.6220448006723,5.99585020878884,5.6220448006723,6.16217632111833,5.87454910956051,6.10288624051336,5.6220448006723,5.6220448006723,6.21793332370051,6.28284259577103,6.11402120612632,5.6220448006723,6.49719459248727,5.6220448006723,5.6220448006723,5.6220448006723,6.17540155639271,5.6220448006723,5.6220448006723,5.89339964748625,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000133110",5.6220448006723,5.6220448006723,5.92753903154503,5.6220448006723,5.91195833049712,5.87454910956051,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.49964816521836,6.0145186717744,5.6220448006723,5.6220448006723,5.89339964748625,5.6220448006723,5.6220448006723,7.43340073328141
"ENSG00000083535",9.75050646201874,9.03205374251613,10.2854819364222,9.81716399776575,10.2853591756881,10.5076283978389,10.1950621350583,10.0945750240755,10.7059566316355,10.7043665556788,10.1392709805798,10.1960132916786,9.8597409251794,9.69516862307026,10.2352875374581,10.4358777028053,10.473421716232,10.1451502930127,9.77664579500935,9.52556678657425,10.0509607545946,9.91602026749176,10.2574346834092,10.1273898976058
"ENSG00000159228",9.71832266553361,12.4103080036629,9.68207556174023,10.5659717548554,10.0526230379576,10.4688455622756,10.1629367656887,10.1582330039623,9.4717359235036,10.0452865680197,10.1446511666217,10.3210410477292,9.53935653148127,9.16139243026497,9.46231034314162,9.28005496254344,9.6852237119751,8.87985456824756,9.77242620247739,10.7505014515076,9.99387190918715,9.03195441954121,9.9803178981091,8.8822789645234
